Image_Name,Image_Resolution,Count,Average_Circularity(ideal circle=0),Average area,Background intensity,Average background intensity ,Average_Viability (%)
image_27..jpg,1210x1290,61,0.452,844.999,192.9809387,90.26891002,90.78356658
image_28..jpg,1210x1290,23,0.501,1451.536,163.4316203,59.94477977,60.36413379
image_29..jpg,1210x1290,36,0.475,849.688,162.5807125,89.13382943,96.54852767
image_3..jpg,1210x1290,88,0.507,780.109,163.7127231,93.08109536,88.96003038
image_30..jpg,1210x1290,23,0.493,1575.264,225.1376357,61.81658554,62.72315106
image_31..jpg,1210x1290,17,0.506,2268.733,157.7044267,77.89347068,79.07019199
image_32..jpg,1210x1290,45,0.512,977.451,161.5400365,86.02834088,78.77099044
image_33..jpg,1210x1290,69,0.446,858.877,194.0689581,87.82360782,86.46071973
image_34..jpg,1210x1290,23,0.41,1343.959,160.4197076,84.91692249,95.16957632
image_35..jpg,1210x1290,24,0.562,1062.888,192.0495702,62.31306287,59.05288938
image_36..jpg,1210x1290,23,0.516,1380.875,161.4884018,57.41570254,60.87514806
image_37..jpg,1210x1290,50,0.485,1228.339,162.6581745,92.61219507,88.47495595
image_38..jpg,1210x1290,71,0.494,806.255,193.2465884,84.34186298,82.49431459
image_39..jpg,1210x1290,18,0.526,1035.998,194.4793168,74.8693495,72.22659407
image_4..jpg,1210x1290,41,0.48,1262.492,159.6722533,84.86515772,74.36059812
image_40..jpg,1210x1290,47,0.481,1325.519,208.039878,86.8729653,87.6847302
image_41..jpg,1210x1290,17,0.575,1109.729,191.4185047,53.29060337,49.37174317
image_42..jpg,1210x1290,18,0.504,883.561,157.7293136,62.9229155,60.85373954
image_43..jpg,1210x1290,11,0.373,1957.685,195.5952457,83.51324565,95.36903189
image_44..jpg,1210x1290,60,0.491,1033.025,160.9828481,83.79798263,82.41347446
image_45..jpg,1210x1290,49,0.473,1207.126,195.1645995,88.13617775,88.9330943
image_46..jpg,1210x1290,18,0.542,1461.817,160.7143612,83.44181036,81.36465016
image_47..jpg,1210x1290,58,0.506,1010.195,191.2830887,79.70233082,77.79557082
image_48..jpg,1210x1290,49,0.494,1123.896,194.7710182,79.95935501,77.01757629
image_49..jpg,1210x1290,44,0.498,1152.072,124.0443123,85.74793701,85.62636002
image_5..jpg,1210x1290,14,0.486,289.263,199.648644,80.24244643,79.97330411
image_50..jpg,1210x1290,51,0.45,1003.684,171.2616924,85.10110323,87.49743283
image_51..jpg,1210x1290,58,0.495,920.659,144.0705161,85.89653075,84.16534933
image_52..jpg,1210x1290,12,0.47,1423.416,160.6776415,43.35729209,51.98246193
image_53..jpg,1210x1290,53,0.475,955.122,178.9167736,87.78634745,87.74229154
image_54..jpg,1210x1290,12,0.596,1234.767,163.9714349,36.02849413,33.9195571
image_55..jpg,1210x1290,62,0.498,1069.131,190.7898346,89.20040757,86.66593678
image_56..jpg,1210x1290,41,0.481,983.066,86.92865819,90.36024332,88.31760151
image_57..jpg,1210x1290,8,0.554,561.345,228.8275608,31.93205855,31.51913908
image_58..jpg,1210x1290,13,0.502,1841.331,139.1630369,80.40052552,85.29950525
image_59..jpg,1210x1290,55,0.459,921.444,135.8853063,87.82455843,86.17875414
image_6..jpg,1210x1290,21,0.55,1575.545,133.2185942,84.48899541,87.49007429
image_60..jpg,1210x1290,5,0.512,163.737,203.3746855,48.91482866,65.45406065
image_61..jpg,1210x1290,46,0.478,1036.994,136.5038599,93.89561314,94.80137613
image_62..jpg,1210x1290,6,0.57,376.392,174.3105994,26.50132064,64.01079208
image_63..jpg,1210x1290,4,0.632,176.916,136.2896666,0,0
image_64..jpg,1210x1290,1,0.53,1003.321,136.3551219,0,0
image_65..jpg,1210x1290,0,-1,-1,136.512646,-1,-1
image_66..jpg,1210x1290,41,0.447,1140.779,194.9468948,91.06847895,91.5547658
image_67..jpg,1210x1290,10,0.555,1925.326,191.186765,70.62254847,63.98598248
image_68..jpg,1210x1290,11,0.551,1069.373,134.9955859,47.80587875,48.32224035
image_69..jpg,1210x1290,2,0.29,2032.738,199.3016517,100,100
image_7..jpg,1210x1290,25,0.514,1441.25,137.4480996,77.8414464,60.79560839
